Date,Time,Battery,Turbidity,ADC,Pressure,ADC,Sound Velocity,NSV,Depth
2023-10-10,05:09:50.00,7.820000000,0.110000000,8819.000000000,12.258620000,1002195.000000000,1471.794000000,3486.844482000,12.155430000
2023-10-10,05:09:50.20,7.830000000,0.100000000,8803.000000000,12.385780000,1003908.000000000,1471.693000000,3487.098633000,12.281520000
2023-10-10,05:09:50.35,7.830000000,0.000000000,8554.000000000,12.502320000,1005478.000000000,1471.650000000,3487.183838000,12.397080000
2023-10-10,05:09:50.55,7.830000000,0.000000000,8427.000000000,12.604910000,1006860.000000000,1471.584000000,3487.326172000,12.498800000
2023-10-10,05:09:50.70,7.830000000,0.000000000,8479.000000000,12.741420000,1008699.000000000,1471.543000000,3487.404053000,12.634160000
2023-10-10,05:09:50.90,7.830000000,0.000000000,8459.000000000,12.866130000,1010379.000000000,1471.490000000,3487.567383000,12.757820000
2023-10-10,05:09:51.05,7.830000000,0.000000000,8406.000000000,12.998040000,1012156.000000000,1471.457000000,3487.642334000,12.888610000
2023-10-10,05:09:51.19,7.830000000,0.000000000,8613.000000000,13.155340000,1014275.000000000,1471.420000000,3487.686768000,13.044580000
2023-10-10,05:09:51.39,7.830000000,0.010000000,8648.000000000,13.286810000,1016046.000000000,1471.355000000,3487.908203000,13.174940000
2023-10-10,05:09:51.60,7.830000000,0.000000000,8375.000000000,13.421690000,1017863.000000000,1471.320000000,3487.937012000,13.308680000
2023-10-10,05:09:51.74,7.830000000,0.000000000,8329.000000000,13.528880000,1019307.000000000,1471.283000000,3488.041504000,13.414960000
2023-10-10,05:09:51.89,7.830000000,0.000000000,8420.000000000,13.642010000,1020831.000000000,1471.220000000,3488.194336000,13.527140000
2023-10-10,05:09:51.99,7.830000000,0.000000000,8288.000000000,13.762790000,1022458.000000000,1471.131000000,3488.609375000,13.646900000
2023-10-10,05:09:52.14,7.830000000,0.000000000,8412.000000000,13.863820000,1023819.000000000,1470.997000000,3488.792969000,13.747070000
2023-10-10,05:09:52.19,7.830000000,0.000000000,8446.000000000,13.971160000,1025265.000000000,1470.955000000,3488.989014000,13.853510000
2023-10-10,05:09:52.34,7.830000000,0.230000000,9045.000000000,14.101960000,1027027.000000000,1470.814000000,3489.214600000,13.983200000
2023-10-10,05:09:52.54,7.830000000,0.050000000,8709.000000000,14.246050000,1028968.000000000,1470.712000000,3489.449707000,14.126070000
2023-10-10,05:09:52.79,7.830000000,0.000000000,8497.000000000,14.380930000,1030785.000000000,1470.616000000,3489.595947000,14.259810000
2023-10-10,05:09:53.19,7.830000000,0.000000000,8102.000000000,14.518780000,1032642.000000000,1470.544000000,3489.733398000,14.396490000
2023-10-10,05:09:53.39,7.830000000,0.000000000,8213.000000000,14.645130000,1034344.000000000,1470.541000000,3489.881348000,14.521770000
2023-10-10,05:09:53.59,7.830000000,0.000000000,8165.000000000,14.791070000,1036310.000000000,1470.420000000,3490.112549000,14.666480000
2023-10-10,05:09:53.74,7.830000000,0.000000000,8118.000000000,14.917190000,1038009.000000000,1470.387000000,3490.216309000,14.791530000
2023-10-10,05:09:53.94,7.830000000,0.000000000,8212.000000000,15.047920000,1039770.000000000,1470.199000000,3490.859131000,14.921150000
2023-10-10,05:09:54.09,7.830000000,0.000000000,8154.000000000,15.149690000,1041141.000000000,1470.031000000,3490.995117000,15.022070000
2023-10-10,05:09:54.29,7.830000000,0.000000000,8105.000000000,15.259860000,1042625.000000000,1469.982000000,3491.124512000,15.131300000
2023-10-10,05:09:54.49,7.830000000,0.000000000,7996.000000000,15.362670000,1044010.000000000,1469.974000000,3491.112793000,15.233240000
2023-10-10,05:09:54.69,7.830000000,0.000000000,8099.000000000,15.476250000,1045540.000000000,1469.979000000,3491.097656000,15.345860000
2023-10-10,05:09:54.79,7.830000000,0.000000000,8112.000000000,15.586260000,1047022.000000000,1469.979000000,3491.112549000,15.454950000
2023-10-10,05:09:54.94,7.830000000,0.000000000,8137.000000000,15.708900000,1048674.000000000,1469.947000000,3491.226074000,15.576540000
2023-10-10,05:09:55.14,7.830000000,0.000000000,7966.000000000,15.813940000,1050089.000000000,1469.877000000,3491.417725000,15.680700000
2023-10-10,05:09:55.34,7.830000000,0.000000000,8068.000000000,15.928340000,1051630.000000000,1469.814000000,3491.528320000,15.794120000
2023-10-10,05:09:55.69,7.830000000,0.000000000,7917.000000000,16.055800000,1053347.000000000,1469.958000000,3491.090088000,15.920500000
2023-10-10,05:09:55.99,7.830000000,0.000000000,8088.000000000,16.212510000,1055458.000000000,1469.857000000,3491.542236000,16.075890000
2023-10-10,05:09:56.19,7.830000000,1.000000000,10428.000000000,16.344870000,1057241.000000000,1469.701000000,3491.759766000,16.207120000
2023-10-10,05:09:56.39,7.830000000,0.080000000,8778.000000000,16.504320000,1059389.000000000,1469.463000000,3492.747803000,16.365230000
2023-10-10,05:09:56.54,7.830000000,0.280000000,9130.000000000,16.622430000,1060980.000000000,1469.148000000,3493.583252000,16.482340000
2023-10-10,05:09:56.74,7.830000000,0.000000000,8368.000000000,16.737420000,1062529.000000000,1468.633000000,3494.624756000,16.596360000
2023-10-10,05:09:57.34,7.830000000,0.000000000,8273.000000000,16.847660000,1064014.000000000,1468.039000000,3495.771729000,16.705660000
2023-10-10,05:09:57.54,7.830000000,0.000000000,8284.000000000,17.037550000,1066572.000000000,1467.913000000,3495.995117000,16.893950000
2023-10-10,05:09:57.74,7.830000000,0.000000000,8005.000000000,17.176820000,1068448.000000000,1467.894000000,3496.095215000,17.032030000
2023-10-10,05:09:57.94,7.830000000,0.000000000,8040.000000000,17.320610000,1070385.000000000,1467.864000000,3496.097168000,17.174610000
2023-10-10,05:09:58.14,7.830000000,0.000000000,8032.000000000,17.455350000,1072200.000000000,1467.887000000,3496.102051000,17.308210000
2023-10-10,05:09:58.34,7.830000000,0.000000000,8075.000000000,17.586750000,1073970.000000000,1467.824000000,3496.266113000,17.438490000
2023-10-10,05:09:58.59,7.830000000,0.000000000,8088.000000000,17.727420000,1075865.000000000,1467.780000000,3496.337158000,17.577970000
2023-10-10,05:09:58.74,7.830000000,0.000000000,8075.000000000,17.838930000,1077367.000000000,1467.785000000,3496.310547000,17.688530000
2023-10-10,05:09:58.84,7.830000000,0.000000000,8083.000000000,17.939140000,1078717.000000000,1467.792000000,3496.302490000,17.787900000
2023-10-10,05:09:58.99,7.830000000,0.000000000,7977.000000000,18.045380000,1080148.000000000,1467.792000000,3496.315918000,17.893230000
2023-10-10,05:09:59.19,7.830000000,0.000000000,8059.000000000,18.183680000,1082011.000000000,1467.787000000,3496.300049000,18.030360000
2023-10-10,05:09:59.39,7.830000000,0.000000000,7979.000000000,18.312700000,1083749.000000000,1467.793000000,3496.288330000,18.158290000
2023-10-10,05:09:59.79,7.830000000,0.000000000,8214.000000000,18.413220000,1085103.000000000,1467.786000000,3496.329590000,18.257950000
2023-10-10,05:09:59.94,7.830000000,0.000000000,8039.000000000,18.535180000,1086746.000000000,1467.779000000,3496.344482000,18.378890000
2023-10-10,05:10:00.14,7.830000000,0.000000000,8244.000000000,18.640230000,1088161.000000000,1467.765000000,3496.399414000,18.483040000
2023-10-10,05:10:00.29,7.830000000,0.000000000,8049.000000000,18.769990000,1089909.000000000,1467.744000000,3496.427734000,18.611710000
