;x;y;d;w;weight_density
213;0.0;6.0;23.0;1.0;0.3510433479591652
214;0.0;6.0;24.0;1.0;0.3510433479591652
215;0.0;6.0;25.0;1.0;0.3510433479591652
216;0.0;6.0;26.0;1.0;0.3510433479591652
217;0.0;7.0;0.0;1.0;0.4442023595174154
218;0.0;7.0;1.0;1.0;0.4442023595174154
219;0.0;7.0;2.0;1.0;0.4442023595174154
220;0.0;7.0;3.0;1.0;0.4442023595174154
221;0.0;7.0;4.0;1.0;0.4442023595174154
222;0.0;7.0;5.0;1.0;0.4442023595174154
223;0.0;7.0;6.0;1.0;0.4442023595174154
224;0.0;7.0;7.0;1.0;0.4442023595174154
225;0.0;7.0;8.0;1.0;0.4442023595174154
226;0.0;7.0;9.0;1.0;0.4442023595174154
227;0.0;7.0;10.0;1.0;0.4442023595174154
228;0.0;7.0;11.0;1.0;0.4442023595174154
229;0.0;7.0;12.0;1.0;0.4442023595174154
230;0.0;7.0;13.0;1.0;0.4442023595174154
231;0.0;7.0;14.0;1.0;0.4442023595174154
232;0.0;8.0;0.0;1.0;1.0857398046387567
233;0.0;8.0;1.0;1.0;1.0857398046387567
234;1.0;0.0;0.0;1.0;0.20761853853861492
235;1.0;0.0;1.0;1.0;0.20761853853861492
236;1.0;0.0;2.0;1.0;0.20761853853861492
237;1.0;0.0;3.0;1.0;0.20761853853861492
238;1.0;0.0;4.0;1.0;0.20761853853861492
239;1.0;0.0;5.0;1.0;0.20761853853861492
240;1.0;0.0;6.0;1.0;0.20761853853861492
241;1.0;0.0;7.0;1.0;0.20761853853861492
242;1.0;0.0;8.0;1.0;0.20761853853861492
243;1.0;0.0;9.0;1.0;0.20761853853861492
244;1.0;0.0;10.0;1.0;0.20761853853861492
245;1.0;0.0;11.0;1.0;0.20761853853861492
246;1.0;0.0;12.0;1.0;0.20761853853861492
247;1.0;0.0;13.0;1.0;0.20761853853861492
248;1.0;0.0;14.0;1.0;0.20761853853861492
249;1.0;0.0;15.0;1.0;0.20761853853861492
250;1.0;0.0;16.0;1.0;0.20761853853861492
251;1.0;0.0;17.0;1.0;0.20761853853861492
252;1.0;0.0;18.0;1.0;0.20761853853861492
253;1.0;0.0;19.0;1.0;0.20761853853861492
254;1.0;0.0;20.0;1.0;0.20761853853861492
255;1.0;0.0;21.0;1.0;0.20761853853861492
256;1.0;0.0;22.0;1.0;0.20761853853861492
257;1.0;0.0;23.0;1.0;0.20761853853861492
258;1.0;0.0;24.0;1.0;0.20761853853861492
259;1.0;0.0;25.0;1.0;0.20761853853861492
260;1.0;0.0;26.0;1.0;0.20761853853861492
261;1.0;0.0;27.0;1.0;0.20761853853861492
262;1.0;0.0;28.0;1.0;0.20761853853861492
263;1.0;0.0;29.0;1.0;0.20761853853861492
264;1.0;1.0;0.0;1.0;0.28612804412841797
265;1.0;1.0;1.0;1.0;0.28612804412841797
266;1.0;1.0;2.0;1.0;0.28612804412841797
267;1.0;1.0;3.0;1.0;0.28612804412841797
268;1.0;1.0;4.0;1.0;0.28612804412841797
269;1.0;1.0;5.0;1.0;0.28612804412841797
270;1.0;1.0;6.0;1.0;0.28612804412841797
271;1.0;1.0;7.0;1.0;0.28612804412841797
272;1.0;1.0;8.0;1.0;0.28612804412841797
273;1.0;1.0;9.0;1.0;0.28612804412841797
274;1.0;1.0;10.0;1.0;0.28612804412841797
275;1.0;1.0;11.0;1.0;0.28612804412841797
276;1.0;1.0;12.0;1.0;0.28612804412841797
277;1.0;1.0;13.0;1.0;0.28612804412841797
278;1.0;1.0;14.0;1.0;0.28612804412841797
279;1.0;1.0;15.0;1.0;0.28612804412841797
280;1.0;1.0;16.0;1.0;0.28612804412841797
281;1.0;1.0;17.0;1.0;0.28612804412841797
282;1.0;1.0;18.0;1.0;0.28612804412841797
283;1.0;1.0;19.0;1.0;0.28612804412841797
284;1.0;1.0;20.0;1.0;0.28612804412841797
285;1.0;1.0;21.0;1.0;0.28612804412841797
286;1.0;1.0;22.0;1.0;0.28612804412841797
287;1.0;1.0;23.0;1.0;0.28612804412841797
288;1.0;1.0;24.0;1.0;0.28612804412841797
289;1.0;1.0;25.0;1.0;0.28612804412841797
290;1.0;1.0;26.0;1.0;0.28612804412841797
291;1.0;1.0;27.0;1.0;0.28612804412841797
292;1.0;1.0;28.0;1.0;0.28612804412841797
293;1.0;1.0;29.0;1.0;0.28612804412841797
294;1.0;1.0;30.0;1.0;0.28612804412841797
295;1.0;1.0;31.0;1.0;0.28612804412841797
296;1.0;2.0;0.0;1.0;0.378768574107777
297;1.0;2.0;1.0;1.0;0.378768574107777
298;1.0;2.0;2.0;1.0;0.378768574107777
299;1.0;2.0;3.0;1.0;0.378768574107777
300;1.0;2.0;4.0;1.0;0.378768574107777
301;1.0;2.0;5.0;1.0;0.378768574107777
302;1.0;2.0;6.0;1.0;0.378768574107777
303;1.0;2.0;7.0;1.0;0.378768574107777
304;1.0;2.0;8.0;1.0;0.378768574107777
305;1.0;2.0;9.0;1.0;0.378768574107777
306;1.0;2.0;10.0;1.0;0.378768574107777
307;1.0;2.0;11.0;1.0;0.378768574107777
308;1.0;2.0;12.0;1.0;0.378768574107777
309;1.0;2.0;13.0;1.0;0.378768574107777
310;1.0;2.0;14.0;1.0;0.378768574107777
311;1.0;2.0;15.0;1.0;0.378768574107777
312;1.0;2.0;16.0;1.0;0.378768574107777
313;1.0;2.0;17.0;1.0;0.378768574107777
314;1.0;2.0;18.0;1.0;0.378768574107777
315;1.0;2.0;19.0;1.0;0.378768574107777
316;1.0;2.0;20.0;1.0;0.378768574107777
317;1.0;2.0;21.0;1.0;0.378768574107777
318;1.0;2.0;22.0;1.0;0.378768574107777
319;1.0;2.0;23.0;1.0;0.378768574107777
320;1.0;2.0;24.0;1.0;0.378768574107777
321;1.0;2.0;25.0;1.0;0.378768574107777
