;Année;Date;Heure;NCT;vitesseCourant;directionCourant;maree;Longitude;Latitude;pcG;Taille;Rayon;Time;date_heure_stamp;x;y
1529;2001;2001-10-31;0.4236111111110858;2001076;0.4262546187433047;242.4730953574513;R;48.12599999999999;-69.6891666666667;35.0;35;100;36599.99999999781;110311010;448716.7049469561;5330534.417242156
1530;2001;2001-10-31;0.4444444444443434;2001076;0.9548465845359662;321.3776767124382;R;48.1112;-69.68615;30;40;;38399.99999999127;110311040;448926.51687470556;5328887.4310297975
1531;2001;2001-10-31;0.4652777777778283;2001076;1.698190213138681;291.958040532782;R;48.1143833333333;-69.6794833333333;30;40;60;40200.000000004366;110311110;449425.87072285794;5329236.84695358
1532;2001;2001-10-31;0.4861111111110858;2001076;0.9725266063198477;271.8855997707797;R;48.105733333333305;-69.6598833333333;30;40;60;41999.99999999781;110311140;450876.4537263141;5328262.728987305
1533;2001;2001-10-31;0.5069444444443434;2001076;0.8635890226259247;254.2095310718526;R;48.122133333333295;-69.6841166666667;30;40;;43799.99999999127;110311210;449088.67007966555;5330101.293752358
1534;2001;2001-10-31;0.5277777777778283;2001076;0.5526345989892417;167.2462836147837;H;48.1253166666667;-69.6793333333333;35.0;40;250;45600.000000004366;110311240;449447.7632896287;5330451.95927854
1535;2001;2001-10-31;0.5416666666667425;2001076;0.5500909015790026;117.030860259843;H;48.1283666666667;-69.6838333333333;35.0;40;1000;46800.00000000655;110311300;449115.91273643693;5330793.9253079705
1536;2001;2001-08-17;0.375;2001078;1.165081971365105;72.31153375176719;L;48.0703666666667;-69.4892;4.0;50;200;32400.0;108170900;463557.5788852951;5324236.979378214
1537;2001;2001-08-17;0.3958333333332575;2001078;1.367865855996121;42.77805015614322;L;48.08088333333329;-69.4072166666667;4.0;50;1000;34199.999999993444;108170930;469671.0072727169;5325370.331652708
1538;2001;2001-08-17;0.4375;2001078;0.3195387300469225;12.4704617216689;R;48.0838;-69.4032;4.0;50;;37800.0;108171030;469971.8606616036;5325692.93656451
